code,Species,Phylum,Genus,Class,Order,Species,Taxonomy ID
A0A099SAL4,Clostridium sp. HMP27,Bacillota,Clostridium,Clostridia,Eubacteriales,Clostridium sp. HMP27,1487921
A0A099VX35,Listeriaceae bacterium FSL A5-0209,Bacillota,unclassified Listeriaceae,Bacilli,Bacillales,Listeriaceae bacterium FSL A5-0209,1497679
A0A099VY34,Listeriaceae bacterium FSL A5-0209,Bacillota,unclassified Listeriaceae,Bacilli,Bacillales,Listeriaceae bacterium FSL A5-0209,1497679
A0A099VY46,Listeriaceae bacterium FSL A5-0209,Bacillota,unclassified Listeriaceae,Bacilli,Bacillales,Listeriaceae bacterium FSL A5-0209,1497679
A0A099WKH3,Listeria booriae,Bacillota,Listeria,Bacilli,Bacillales,Listeria booriae,1552123
A0A099WKI8,Listeria booriae,Bacillota,Listeria,Bacilli,Bacillales,Listeria booriae,1552123
A0A099WLN3,Listeria booriae,Bacillota,Listeria,Bacilli,Bacillales,Listeria booriae,1552123
A0A099YB76,Limosilactobacillus mucosae,Bacillota,Limosilactobacillus,Bacilli,Lactobacillales,Limosilactobacillus mucosae,97478
A0A0A0D111,Inquilinus limosus MP06,Pseudomonadota,Inquilinus,Alphaproteobacteria,Rhodospirillales,Inquilinus limosus MP06,1398085
A0A0A0SJK1,Vibrio tubiashii ATCC 19109,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio tubiashii ATCC 19109,1051646
A0A0A0WJ48,Bacillus mycoides,Bacillota,Bacillus,Bacilli,Bacillales,Bacillus mycoides,1405
A0A0A1GNM5,Bifidobacterium longum,Actinomycetota,Bifidobacterium,Actinomycetes,Bifidobacteriales,Bifidobacterium longum,216816
A0A0A1GR04,Paucilactobacillus hokkaidonensis JCM 18461,Bacillota,Paucilactobacillus,Bacilli,Lactobacillales,Paucilactobacillus hokkaidonensis JCM 18461,1291742
A0A0A1GWR1,Paucilactobacillus hokkaidonensis JCM 18461,Bacillota,Paucilactobacillus,Bacilli,Lactobacillales,Paucilactobacillus hokkaidonensis JCM 18461,1291742
A0A0A1VKY0,Acidovorax sp. MR-S7,Pseudomonadota,Acidovorax,Betaproteobacteria,Burkholderiales,Acidovorax sp. MR-S7,1268622
A0A0A2LMG6,Flavobacterium beibuense F44-8,Bacteroidota,Flavobacterium,Flavobacteriia,Flavobacteriales,Flavobacterium beibuense F44-8,1406840
A0A0A2T690,Legionella norrlandica,Pseudomonadota,Legionella,Gammaproteobacteria,Legionellales,Legionella norrlandica,1498499
A0A0A2TW91,Paenibacillus sp. MAEPY2,Bacillota,Paenibacillus,Bacilli,Bacillales,Paenibacillus sp. MAEPY2,1395587
A0A0A3EZX7,Vibrio campbellii,Pseudomonadota,Vibrio,Gammaproteobacteria,Vibrionales,Vibrio campbellii,680
A0A0A5SNI4,Morganella morganii,Pseudomonadota,Morganella,Gammaproteobacteria,Enterobacterales,Morganella morganii,582
A0A0A7FT69,Clostridium baratii str. Sullivan,Bacillota,Clostridium,Clostridia,Eubacteriales,Clostridium baratii str. Sullivan,1415775
A0A0A7I2N8,Bifidobacterium catenulatum PV20-2,Actinomycetota,Bifidobacterium,Actinomycetes,Bifidobacteriales,Bifidobacterium catenulatum PV20-2,1447716
